"","Atrophy","Cog","DX","MedPath","Paths","Sig","LCI","UCI","mean","se"
"46","Atrophy_MediatTemporal","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"47","Atrophy_MediatTemporal","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"48","Atrophy_MediatTemporal","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"49","Atrophy_ParahippoGyrus","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"50","Atrophy_ParahippoGyrus","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"51","Atrophy_ParahippoGyrus","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"52","Atrophy_ParahippoGyrus","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"53","Atrophy_ParahippoGyrus","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"54","Atrophy_ParahippoGyrus","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"55","Atrophy_ParahippoGyrus","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"56","Atrophy_ParahippoGyrus","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"57","Atrophy_PostCingulate","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"58","Atrophy_PostCingulate","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"59","Atrophy_PostCingulate","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"60","Atrophy_PostCingulate","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"61","Atrophy_PostCingulate","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"62","Atrophy_PostCingulate","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"63","Atrophy_PostCingulate","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"64","Atrophy_PostCingulate","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"65","Atrophy_SLF_PT","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"66","Atrophy_SLF_PT","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"67","Atrophy_SLF_PT","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"68","Atrophy_SLF_PT","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"69","Atrophy_SLF_PT","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"70","Atrophy_SLF_PT","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"71","Atrophy_SLF_PT","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"72","Atrophy_SLF_PT","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"73","Atrophy_Splenium","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"74","Atrophy_Splenium","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"75","Atrophy_Splenium","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"76","Atrophy_Splenium","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"77","Atrophy_Splenium","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"78","Atrophy_Splenium","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"79","Atrophy_Splenium","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"80","Atrophy_Splenium","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"81","Atrophy_Thalamus","ADNI_MEM","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"82","Atrophy_Thalamus","ADNI_MEM","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"83","Atrophy_Thalamus","ADNI_MEM","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"84","Atrophy_Thalamus","ADNI_MEM","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"85","Atrophy_Thalamus","ADNI_EF","NL","a","Abeta to Tau","0",-0.313608,0.023299,-0.14054,0.0882
"86","Atrophy_Thalamus","ADNI_EF","EMCI","a","Abeta to Tau","1",-0.660578,-0.178282,-0.409515,0.128401
"87","Atrophy_Thalamus","ADNI_EF","LMCI","a","Abeta to Tau","1",-0.831067,-0.433944,-0.637082,0.10161
"88","Atrophy_Thalamus","ADNI_EF","TOTAL","a","Abeta to Tau","1",-0.48795,-0.259339,-0.369156,0.058971
"89","Atrophy_Amygdala","ADNI_MEM","NL","a2","Abeta to Atrophy","1",5.2e-05,0.000168,0.00011,3e-05
"90","Atrophy_Amygdala","ADNI_MEM","EMCI","a2","Abeta to Atrophy","1",4.5e-05,0.000183,0.000114,3.4e-05
"91","Atrophy_Amygdala","ADNI_MEM","LMCI","a2","Abeta to Atrophy","1",8.2e-05,0.000347,0.00022,6.7e-05
"92","Atrophy_Amygdala","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",0.000109,0.000199,0.000154,2.3e-05
"93","Atrophy_Amygdala","ADNI_EF","NL","a2","Abeta to Atrophy","1",5.2e-05,0.000168,0.00011,3e-05
"94","Atrophy_Amygdala","ADNI_EF","EMCI","a2","Abeta to Atrophy","1",4.5e-05,0.000183,0.000114,3.4e-05
"95","Atrophy_Amygdala","ADNI_EF","LMCI","a2","Abeta to Atrophy","1",8.2e-05,0.000347,0.00022,6.7e-05
"96","Atrophy_Amygdala","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",0.000109,0.000199,0.000154,2.3e-05
"97","Atrophy_Entorhinal","ADNI_MEM","NL","a2","Abeta to Atrophy","1",1e-06,0.000226,0.000116,5.7e-05
"98","Atrophy_Entorhinal","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-1.1e-05,0.000196,9.5e-05,5.5e-05
"99","Atrophy_Entorhinal","ADNI_MEM","LMCI","a2","Abeta to Atrophy","1",7.5e-05,0.000415,0.000253,8.4e-05
"100","Atrophy_Entorhinal","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",0.000101,0.000232,0.000166,3.3e-05
"101","Atrophy_Entorhinal","ADNI_EF","NL","a2","Abeta to Atrophy","1",1e-06,0.000226,0.000116,5.7e-05
"102","Atrophy_Entorhinal","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-1.1e-05,0.000196,9.5e-05,5.5e-05
"103","Atrophy_Entorhinal","ADNI_EF","LMCI","a2","Abeta to Atrophy","1",7.5e-05,0.000415,0.000253,8.4e-05
"104","Atrophy_Entorhinal","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",0.000101,0.000232,0.000166,3.3e-05
"105","Atrophy_Hippocampus","ADNI_MEM","NL","a2","Abeta to Atrophy","1",2.8e-05,0.000154,9.1e-05,3.2e-05
"106","Atrophy_Hippocampus","ADNI_MEM","EMCI","a2","Abeta to Atrophy","1",1e-05,0.000165,9.1e-05,3.9e-05
"107","Atrophy_Hippocampus","ADNI_MEM","LMCI","a2","Abeta to Atrophy","1",6.4e-05,0.000278,0.00017,5.6e-05
"108","Atrophy_Hippocampus","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",8.3e-05,0.000169,0.000126,2.2e-05
"109","Atrophy_Hippocampus","ADNI_EF","NL","a2","Abeta to Atrophy","1",2.8e-05,0.000154,9.1e-05,3.2e-05
"110","Atrophy_Hippocampus","ADNI_EF","EMCI","a2","Abeta to Atrophy","1",1e-05,0.000165,9.1e-05,3.9e-05
"111","Atrophy_Hippocampus","ADNI_EF","LMCI","a2","Abeta to Atrophy","1",6.4e-05,0.000278,0.00017,5.6e-05
"112","Atrophy_Hippocampus","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",8.3e-05,0.000169,0.000126,2.2e-05
"113","Atrophy_Insula","ADNI_MEM","NL","a2","Abeta to Atrophy","0",-1e-06,9.4e-05,4.8e-05,2.3e-05
"114","Atrophy_Insula","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-5.2e-05,0.000127,3.5e-05,4.3e-05
"115","Atrophy_Insula","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-6.6e-05,0.00013,3.3e-05,5.1e-05
"116","Atrophy_Insula","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",1.5e-05,9.4e-05,5.3e-05,2.1e-05
"117","Atrophy_Insula","ADNI_EF","NL","a2","Abeta to Atrophy","0",-1e-06,9.4e-05,4.8e-05,2.3e-05
"118","Atrophy_Insula","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-5.2e-05,0.000127,3.5e-05,4.3e-05
"119","Atrophy_Insula","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-6.6e-05,0.00013,3.3e-05,5.1e-05
"120","Atrophy_Insula","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",1.5e-05,9.4e-05,5.3e-05,2.1e-05
"121","Atrophy_LateralTemporal","ADNI_MEM","NL","a2","Abeta to Atrophy","1",1.6e-05,0.00012,6.6e-05,2.7e-05
"122","Atrophy_LateralTemporal","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-4.6e-05,0.000121,3.7e-05,4.2e-05
"123","Atrophy_LateralTemporal","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-7.3e-05,0.000215,7e-05,7.5e-05
"124","Atrophy_LateralTemporal","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",2.6e-05,0.000122,7.5e-05,2.5e-05
"125","Atrophy_LateralTemporal","ADNI_EF","NL","a2","Abeta to Atrophy","1",1.6e-05,0.00012,6.6e-05,2.7e-05
"126","Atrophy_LateralTemporal","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-4.6e-05,0.000121,3.7e-05,4.2e-05
"127","Atrophy_LateralTemporal","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-7.3e-05,0.000215,7e-05,7.5e-05
"128","Atrophy_LateralTemporal","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",2.6e-05,0.000122,7.5e-05,2.5e-05
"129","Atrophy_MediatTemporal","ADNI_MEM","NL","a2","Abeta to Atrophy","1",3.2e-05,0.000166,9.9e-05,3.6e-05
"130","Atrophy_MediatTemporal","ADNI_MEM","EMCI","a2","Abeta to Atrophy","1",1.4e-05,0.000155,8.6e-05,3.7e-05
"131","Atrophy_MediatTemporal","ADNI_MEM","LMCI","a2","Abeta to Atrophy","1",8.3e-05,0.000321,0.000206,6e-05
"132","Atrophy_MediatTemporal","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",9.5e-05,0.000185,0.000141,2.3e-05
"133","Atrophy_MediatTemporal","ADNI_EF","NL","a2","Abeta to Atrophy","1",3.2e-05,0.000166,9.9e-05,3.6e-05
"134","Atrophy_MediatTemporal","ADNI_EF","EMCI","a2","Abeta to Atrophy","1",1.4e-05,0.000155,8.6e-05,3.7e-05
"135","Atrophy_MediatTemporal","ADNI_EF","LMCI","a2","Abeta to Atrophy","1",8.3e-05,0.000321,0.000206,6e-05
"136","Atrophy_MediatTemporal","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",9.5e-05,0.000185,0.000141,2.3e-05
"137","Atrophy_ParahippoGyrus","ADNI_MEM","NL","a2","Abeta to Atrophy","1",3.1e-05,0.000134,8.1e-05,2.7e-05
"138","Atrophy_ParahippoGyrus","ADNI_MEM","EMCI","a2","Abeta to Atrophy","1",1.2e-05,0.000135,7.3e-05,3.1e-05
"139","Atrophy_ParahippoGyrus","ADNI_MEM","LMCI","a2","Abeta to Atrophy","1",5e-05,0.000264,0.00016,5.4e-05
"140","Atrophy_ParahippoGyrus","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",7.4e-05,0.000155,0.000114,2e-05
"141","Atrophy_ParahippoGyrus","ADNI_EF","NL","a2","Abeta to Atrophy","1",3.1e-05,0.000134,8.1e-05,2.7e-05
"142","Atrophy_ParahippoGyrus","ADNI_EF","EMCI","a2","Abeta to Atrophy","1",1.2e-05,0.000135,7.3e-05,3.1e-05
"143","Atrophy_ParahippoGyrus","ADNI_EF","LMCI","a2","Abeta to Atrophy","1",5e-05,0.000264,0.00016,5.4e-05
"144","Atrophy_ParahippoGyrus","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",7.4e-05,0.000155,0.000114,2e-05
"145","Atrophy_PostCingulate","ADNI_MEM","NL","a2","Abeta to Atrophy","0",-4.5e-05,0.000116,4e-05,4e-05
"146","Atrophy_PostCingulate","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-5.6e-05,0.000125,3.4e-05,4.7e-05
"147","Atrophy_PostCingulate","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-0.000166,0.000132,-7e-06,7.6e-05
"148","Atrophy_PostCingulate","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","0",-1e-06,0.00011,5e-05,2.9e-05
"149","Atrophy_PostCingulate","ADNI_EF","NL","a2","Abeta to Atrophy","0",-4.5e-05,0.000116,4e-05,4e-05
"150","Atrophy_PostCingulate","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-5.6e-05,0.000125,3.4e-05,4.7e-05
"151","Atrophy_PostCingulate","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-0.000166,0.000132,-7e-06,7.6e-05
"152","Atrophy_PostCingulate","ADNI_EF","TOTAL","a2","Abeta to Atrophy","0",-1e-06,0.00011,5e-05,2.9e-05
"153","Atrophy_SLF_PT","ADNI_MEM","NL","a2","Abeta to Atrophy","1",3e-06,0.000101,5.1e-05,2.5e-05
"154","Atrophy_SLF_PT","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-3.5e-05,9.3e-05,2.7e-05,3.3e-05
"155","Atrophy_SLF_PT","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-1.5e-05,0.00021,9.2e-05,5.7e-05
"156","Atrophy_SLF_PT","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",2.3e-05,9.8e-05,6e-05,1.9e-05
"157","Atrophy_SLF_PT","ADNI_EF","NL","a2","Abeta to Atrophy","1",3e-06,0.000101,5.1e-05,2.5e-05
"158","Atrophy_SLF_PT","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-3.5e-05,9.3e-05,2.7e-05,3.3e-05
"159","Atrophy_SLF_PT","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-1.5e-05,0.00021,9.2e-05,5.7e-05
"160","Atrophy_SLF_PT","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",2.3e-05,9.8e-05,6e-05,1.9e-05
"161","Atrophy_Splenium","ADNI_MEM","NL","a2","Abeta to Atrophy","1",1e-06,8.4e-05,4.2e-05,2.1e-05
"162","Atrophy_Splenium","ADNI_MEM","EMCI","a2","Abeta to Atrophy","1",4e-06,0.000121,5.9e-05,3e-05
"163","Atrophy_Splenium","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-5.8e-05,0.000148,5e-05,5.4e-05
"164","Atrophy_Splenium","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",3.1e-05,0.000101,6.5e-05,1.8e-05
"165","Atrophy_Splenium","ADNI_EF","NL","a2","Abeta to Atrophy","1",1e-06,8.4e-05,4.2e-05,2.1e-05
"166","Atrophy_Splenium","ADNI_EF","EMCI","a2","Abeta to Atrophy","1",4e-06,0.000121,5.9e-05,3e-05
"167","Atrophy_Splenium","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-5.8e-05,0.000148,5e-05,5.4e-05
"168","Atrophy_Splenium","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",3.1e-05,0.000101,6.5e-05,1.8e-05
"169","Atrophy_Thalamus","ADNI_MEM","NL","a2","Abeta to Atrophy","1",5e-06,0.000108,5.7e-05,2.6e-05
"170","Atrophy_Thalamus","ADNI_MEM","EMCI","a2","Abeta to Atrophy","0",-2.9e-05,0.000125,5.2e-05,4e-05
"171","Atrophy_Thalamus","ADNI_MEM","LMCI","a2","Abeta to Atrophy","0",-2.5e-05,0.000182,8.3e-05,5.2e-05
"172","Atrophy_Thalamus","ADNI_MEM","TOTAL","a2","Abeta to Atrophy","1",3e-05,0.000111,7e-05,2e-05
"173","Atrophy_Thalamus","ADNI_EF","NL","a2","Abeta to Atrophy","1",5e-06,0.000108,5.7e-05,2.6e-05
"174","Atrophy_Thalamus","ADNI_EF","EMCI","a2","Abeta to Atrophy","0",-2.9e-05,0.000125,5.2e-05,4e-05
"175","Atrophy_Thalamus","ADNI_EF","LMCI","a2","Abeta to Atrophy","0",-2.5e-05,0.000182,8.3e-05,5.2e-05
"176","Atrophy_Thalamus","ADNI_EF","TOTAL","a2","Abeta to Atrophy","1",3e-05,0.000111,7e-05,2e-05
"177","Atrophy_Amygdala","ADNI_MEM","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000218,0.000356,7.5e-05,0.000142
"178","Atrophy_Amygdala","ADNI_MEM","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-6.6e-05,0.000666,0.000238,0.000184
"179","Atrophy_Amygdala","ADNI_MEM","LMCI","a2c","B3 = Abeta to Atrophy to Cog","1",3.9e-05,0.0013,0.000559,0.000333
"180","Atrophy_Amygdala","ADNI_MEM","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","1",0.000204,0.000694,0.000443,0.000128
"181","Atrophy_Amygdala","ADNI_EF","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000243,0.000622,0.000158,0.000214
"182","Atrophy_Amygdala","ADNI_EF","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000237,0.000962,0.000319,0.00029
"183","Atrophy_Amygdala","ADNI_EF","LMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000218,0.001503,0.000534,0.00045
"184","Atrophy_Amygdala","ADNI_EF","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","1",3.8e-05,0.000789,0.000373,0.000185
"185","Atrophy_Entorhinal","ADNI_MEM","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000144,0.000353,7.6e-05,0.000123
"186","Atrophy_Entorhinal","ADNI_MEM","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-8.4e-05,0.000393,0.000111,0.000126
"187","Atrophy_Entorhinal","ADNI_MEM","LMCI","a2c","B3 = Abeta to Atrophy to Cog","1",5.8e-05,0.001203,0.000556,0.000302
"188","Atrophy_Entorhinal","ADNI_MEM","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","1",0.000142,0.000559,0.000328,0.00011
"189","Atrophy_Entorhinal","ADNI_EF","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-3.2e-05,0.00065,0.000223,0.00018
"190","Atrophy_Entorhinal","ADNI_EF","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-6.8e-05,0.000869,0.000314,0.00024
"191","Atrophy_Entorhinal","ADNI_EF","LMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000271,0.001362,0.000452,0.000402
"192","Atrophy_Entorhinal","ADNI_EF","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","1",0.000117,0.000707,0.000366,0.000151
"193","Atrophy_Hippocampus","ADNI_MEM","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000363,0.00035,3.8e-05,0.00017
"194","Atrophy_Hippocampus","ADNI_MEM","EMCI","a2c","B3 = Abeta to Atrophy to Cog","1",1.3e-05,0.000691,0.000281,0.00018
"195","Atrophy_Hippocampus","ADNI_MEM","LMCI","a2c","B3 = Abeta to Atrophy to Cog","1",3.3e-05,0.001306,0.000507,0.000328
"196","Atrophy_Hippocampus","ADNI_MEM","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","1",2e-04,0.000644,0.000412,0.000115
"197","Atrophy_Hippocampus","ADNI_EF","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000198,0.000578,0.000142,0.000183
"198","Atrophy_Hippocampus","ADNI_EF","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000116,0.000918,0.00028,0.000271
"199","Atrophy_Hippocampus","ADNI_EF","LMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000623,0.000976,0.000114,0.000396
"200","Atrophy_Hippocampus","ADNI_EF","TOTAL","a2c","B3 = Abeta to Atrophy to Cog","0",-9.4e-05,0.000559,0.000194,0.000162
"201","Atrophy_Insula","ADNI_MEM","NL","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000228,8.8e-05,-5.6e-05,8.2e-05
"202","Atrophy_Insula","ADNI_MEM","EMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000183,0.000137,-1.3e-05,7.9e-05
"203","Atrophy_Insula","ADNI_MEM","LMCI","a2c","B3 = Abeta to Atrophy to Cog","0",-0.000188,0.000216,8e-06,9.3e-05
